discharge_number,average_voltage_V,minimum_voltage_V_x,maximum_voltage_V_x,average_current_A,maximum_current_A,average_temperature_C,maximum_temperature_C_x,capacity_Ah,SOH_percent,capacity_loss_percent,energy_Wh,average_power_W,maximum_power_W,minimum_power_W,minimum_voltage_V_y,maximum_voltage_V_y,maximum_temperature_C_y
1,3.5298286688693397,2.612467347907089,4.191491807505295,-1.8187019641679725,0.000728585272845447,32.572328114029,38.98218133148803,1.8564874208181574,100.0,0.0,6.6087781949284645,6.4632035782940935,7.999540295448557,0.0007204820109987193,2.612467347907089,4.191491807505295,38.98218133148803
2,3.5373201277859705,2.587208728940726,4.189773213846608,-1.8175598506612867,0.002927403359080335,32.72523522519307,39.033397966787035,1.846327249719927,99.45272071416714,0.547279285832856,6.586345150397566,6.47261196803546,8.01662409619995,8.903762393395971e-05,2.587208728940726,4.189773213846608,39.033397966787035
3,3.5437367282719,2.6519168938437794,4.188186735991303,-1.8164865418840956,0.0014836763652280672,32.64286193755933,38.818796689817404,1.8353491942234077,98.86138595081705,1.13861404918295,6.555683334957384,6.476840373944161,8.02159650145103,0.0003492491038423405,2.6519168938437794,4.188186735991303,38.818796689817404
4,3.5436661072601456,2.592947964776547,4.188461118855572,-1.8255891938692528,0.001547011952723541,32.514876462048825,38.7623045063458,1.8352625275821128,98.85671763794173,1.143282362058276,6.5548286069376,6.509010349406403,8.009677053833263,0.00014356154051890562,2.592947964776547,4.188461118855572,38.7623045063458
5,3.5423432526672167,2.547419651124539,4.188298524761055,-1.8261139590277584,0.001701454824503414,32.38234901543077,38.66539257343368,1.8346455082120419,98.82348178817772,1.1765182118222914,6.552231972609875,6.5102405373451955,8.020337120970723,3.053362831617426e-05,2.547419651124539,4.188298524761055,38.66539257343368
6,3.5413347346347575,2.5209480504077413,4.188815807948604,-1.8168108743168805,0.0024899497555445145,32.43418218230641,38.75169504640032,1.8356616600675495,98.87821697485944,1.1217830251405627,6.557494548054203,6.47930923440532,8.017807808159468,2.9641302206279315e-05,2.5209480504077413,4.188815807948604,38.75169504640032
7,3.5410250495075206,2.487927319492314,4.18839163793879,-1.816791144707133,0.002314295882739856,32.48041644475799,38.8207012322275,1.8351461429226603,98.85044855913476,1.1495514408652427,6.557049661436373,6.48048355519179,8.032256573878646,0.0002961036339070557,2.487927319492314,4.18839163793879,38.8207012322275
8,3.554133296801585,2.6652049047458775,4.188927891511958,-1.8443412120754061,0.002227616056915605,32.41046186109587,38.51713023385634,1.8257567905665537,98.34468955151549,1.6553104484845187,6.535167110927523,6.589849808804335,8.02185752407804,0.0008631045073838764,2.6652049047458775,4.188927891511958,38.51713023385634
9,3.5529355991467946,2.6038584726333673,4.189029250882121,-1.853972745505648,0.005401028321021492,32.34614083129999,38.526267904657,1.8247738529891333,98.29174345738105,1.7082565426189582,6.5291073135895505,6.621885371651223,8.021052927126735,0.0019389914302139768,2.6038584726333673,4.189029250882121,38.526267904657
10,3.5512057319376997,2.552853984885676,4.189223427076418,-1.8535899338510957,0.0030191479674457028,32.27679750791685,38.52698128472781,1.824613268496936,98.2830935473199,1.7169064526801034,6.526577749922872,6.618774596469597,8.02662527615058,0.00015604393737850622,2.552853984885676,4.189223427076418,38.52698128472781
11,3.54929231974095,2.4724483018527317,4.188916055911241,-1.863380178294828,0.002626400189938571,32.15709350345253,38.54143406601644,1.8246195526864504,98.28343204622077,1.7165679537792304,6.5224730397045345,6.649558123339849,8.01912489715708,0.0007587805027272423,2.4724483018527317,4.188916055911241,38.54143406601644
12,3.5597592206489757,2.64956413267546,4.189876247266316,-1.872968810287894,0.00236452370176732,32.36407129853099,38.52197451768004,1.8142019357673917,97.72228539894279,2.277714601057215,6.497483643883568,6.695832461852113,8.031478424157507,0.0006549511112914562,2.64956413267546,4.189876247266316,38.52197451768004
13,3.558081969139198,2.5724981777366227,4.189286794768804,-1.8826095043160835,0.0018583785527610795,32.3181954403762,38.582485834057856,1.8137521577549054,97.69805803238793,2.3019419676120685,6.491853045269893,6.72654584784805,8.017710632392506,0.0015091627270690578,2.5724981777366227,4.189286794768804,38.582485834057856
14,3.555692244172496,2.5249886697730286,4.188837765892728,-1.882536787636365,0.0022664654273509715,32.15709029211502,38.520294134873915,1.8134404914735822,97.68127007692816,2.318729923071838,6.487114428498572,6.722629717898331,8.026928002084034,0.0007155853957643176,2.5249886697730286,4.188837765892728,38.520294134873915
15,3.5627468180175024,2.694621861688723,4.189110301768517,-1.8817935155260215,0.001319946437255823,32.04407000314609,38.21358592965045,1.8025980036306504,97.09723768751647,2.902762312483534,6.456673528229404,6.728012948680048,8.016904736944536,0.00012516098056599207,2.694621861688723,4.189110301768517,38.21358592965045
16,3.5614521756489204,2.64010141737067,4.18921207304098,-1.8921861285036712,0.0030782527761262007,31.93159367491153,38.1983618706913,1.80210690024615,97.07078432300706,2.929215676992941,6.451147555097534,6.761453441563162,8.021713074593542,0.0005617467215076972,2.64010141737067,4.18921207304098,38.1983618706913
17,3.5603420474985814,2.5739035098380962,4.188899969428112,-1.9027629207037409,0.0009018486465400538,31.94165535902929,38.31926916027133,1.802579500826209,97.09624103091467,2.903758969085339,6.449580251029462,6.795517762374365,8.030824726649657,0.0005113790949133664,2.5739035098380962,4.188899969428112,38.31926916027133
